"","Date.Time","Lat","Lon","Base","Date_Time","Month","Day","Hour"
"63",2014-04-01 06:14:00,40.6193,-74.157,"B02512",2014-04-01 06:14:00,4,1,6
"64",2014-04-01 06:15:00,40.7753,-73.978,"B02512",2014-04-01 06:15:00,4,1,6
"65",2014-04-01 06:15:00,40.7204,-73.9545,"B02512",2014-04-01 06:15:00,4,1,6
"66",2014-04-01 06:16:00,40.7772,-73.9595,"B02512",2014-04-01 06:16:00,4,1,6
"67",2014-04-01 06:17:00,40.7651,-74.082,"B02512",2014-04-01 06:17:00,4,1,6
"68",2014-04-01 06:17:00,40.74,-73.9879,"B02512",2014-04-01 06:17:00,4,1,6
"69",2014-04-01 06:19:00,40.7741,-73.9568,"B02512",2014-04-01 06:19:00,4,1,6
"70",2014-04-01 06:20:00,40.7599,-73.9944,"B02512",2014-04-01 06:20:00,4,1,6
"71",2014-04-01 06:21:00,40.7531,-74.0039,"B02512",2014-04-01 06:21:00,4,1,6
"72",2014-04-01 06:22:00,40.7791,-73.9623,"B02512",2014-04-01 06:22:00,4,1,6
"73",2014-04-01 06:25:00,40.7382,-74.0033,"B02512",2014-04-01 06:25:00,4,1,6
"74",2014-04-01 06:31:00,40.7391,-73.9989,"B02512",2014-04-01 06:31:00,4,1,6
"75",2014-04-01 06:31:00,40.7806,-73.982,"B02512",2014-04-01 06:31:00,4,1,6
"76",2014-04-01 06:32:00,40.7322,-73.9863,"B02512",2014-04-01 06:32:00,4,1,6
"77",2014-04-01 06:33:00,40.7703,-73.966,"B02512",2014-04-01 06:33:00,4,1,6
"78",2014-04-01 06:34:00,40.7221,-74.0018,"B02512",2014-04-01 06:34:00,4,1,6
"79",2014-04-01 06:35:00,40.7588,-73.9895,"B02512",2014-04-01 06:35:00,4,1,6
"80",2014-04-01 06:36:00,40.7677,-73.9656,"B02512",2014-04-01 06:36:00,4,1,6
"81",2014-04-01 06:37:00,40.7404,-74.0076,"B02512",2014-04-01 06:37:00,4,1,6
"82",2014-04-01 06:38:00,40.7679,-73.9599,"B02512",2014-04-01 06:38:00,4,1,6
"83",2014-04-01 06:39:00,40.7694,-73.9852,"B02512",2014-04-01 06:39:00,4,1,6
"84",2014-04-01 06:40:00,40.7858,-73.9546,"B02512",2014-04-01 06:40:00,4,1,6
"85",2014-04-01 06:40:00,40.7742,-73.9491,"B02512",2014-04-01 06:40:00,4,1,6
"86",2014-04-01 06:42:00,40.7703,-73.95,"B02512",2014-04-01 06:42:00,4,1,6
"87",2014-04-01 06:42:00,40.7614,-73.9997,"B02512",2014-04-01 06:42:00,4,1,6
"88",2014-04-01 06:43:00,40.793,-73.9749,"B02512",2014-04-01 06:43:00,4,1,6
"89",2014-04-01 06:44:00,40.7231,-73.9442,"B02512",2014-04-01 06:44:00,4,1,6
"90",2014-04-01 06:45:00,40.7874,-73.9545,"B02512",2014-04-01 06:45:00,4,1,6
"91",2014-04-01 06:47:00,40.7689,-73.9812,"B02512",2014-04-01 06:47:00,4,1,6
"92",2014-04-01 06:47:00,40.7789,-73.9557,"B02512",2014-04-01 06:47:00,4,1,6
"93",2014-04-01 06:48:00,40.7271,-74.0054,"B02512",2014-04-01 06:48:00,4,1,6
"94",2014-04-01 06:52:00,40.7877,-73.973,"B02512",2014-04-01 06:52:00,4,1,6
"95",2014-04-01 06:52:00,40.7255,-74.0092,"B02512",2014-04-01 06:52:00,4,1,6
"96",2014-04-01 06:54:00,40.7653,-73.9723,"B02512",2014-04-01 06:54:00,4,1,6
"97",2014-04-01 06:56:00,40.7644,-73.9769,"B02512",2014-04-01 06:56:00,4,1,6
"98",2014-04-01 06:57:00,40.7726,-73.9532,"B02512",2014-04-01 06:57:00,4,1,6
"99",2014-04-01 06:59:00,40.7898,-73.9661,"B02512",2014-04-01 06:59:00,4,1,6
"100",2014-04-01 07:00:00,40.7839,-73.9703,"B02512",2014-04-01 07:00:00,4,1,7
"101",2014-04-01 07:00:00,40.7236,-74.0016,"B02512",2014-04-01 07:00:00,4,1,7
"102",2014-04-01 07:00:00,40.699,-73.9951,"B02512",2014-04-01 07:00:00,4,1,7
"103",2014-04-01 07:00:00,40.7581,-73.9219,"B02512",2014-04-01 07:00:00,4,1,7
"104",2014-04-01 07:01:00,40.768,-73.9191,"B02512",2014-04-01 07:01:00,4,1,7
"105",2014-04-01 07:02:00,40.7677,-73.9897,"B02512",2014-04-01 07:02:00,4,1,7
"106",2014-04-01 07:02:00,40.771,-73.866,"B02512",2014-04-01 07:02:00,4,1,7
"107",2014-04-01 07:03:00,40.7808,-73.9487,"B02512",2014-04-01 07:03:00,4,1,7
"108",2014-04-01 07:06:00,40.7147,-74.0362,"B02512",2014-04-01 07:06:00,4,1,7
"109",2014-04-01 07:07:00,40.7732,-73.9504,"B02512",2014-04-01 07:07:00,4,1,7
"110",2014-04-01 07:08:00,40.7335,-74.0043,"B02512",2014-04-01 07:08:00,4,1,7
"111",2014-04-01 07:08:00,40.7754,-73.9782,"B02512",2014-04-01 07:08:00,4,1,7
"112",2014-04-01 07:09:00,40.7752,-73.9455,"B02512",2014-04-01 07:09:00,4,1,7
"113",2014-04-01 07:09:00,40.7243,-74.0021,"B02512",2014-04-01 07:09:00,4,1,7
"114",2014-04-01 07:09:00,40.7786,-73.9512,"B02512",2014-04-01 07:09:00,4,1,7
"115",2014-04-01 07:11:00,40.7877,-73.9788,"B02512",2014-04-01 07:11:00,4,1,7
"116",2014-04-01 07:12:00,40.8674,-73.8822,"B02512",2014-04-01 07:12:00,4,1,7
"117",2014-04-01 07:14:00,40.7678,-73.9704,"B02512",2014-04-01 07:14:00,4,1,7
"118",2014-04-01 07:15:00,40.7749,-73.9587,"B02512",2014-04-01 07:15:00,4,1,7
"119",2014-04-01 07:15:00,40.7209,-73.9813,"B02512",2014-04-01 07:15:00,4,1,7
"120",2014-04-01 07:17:00,40.756,-73.9752,"B02512",2014-04-01 07:17:00,4,1,7
"121",2014-04-01 07:17:00,40.7923,-73.9676,"B02512",2014-04-01 07:17:00,4,1,7
"122",2014-04-01 07:20:00,40.739,-73.9991,"B02512",2014-04-01 07:20:00,4,1,7
"123",2014-04-01 07:21:00,40.7273,-73.9797,"B02512",2014-04-01 07:21:00,4,1,7
"124",2014-04-01 07:22:00,40.7751,-73.9475,"B02512",2014-04-01 07:22:00,4,1,7
